,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
110,27,4.6,2022-03-14,23.75,23.833333333333332,2,3,0,0,120,1
111,39,3.8,2022-03-16,19.916666666666668,20.0,2,2,1,0,185,12
112,31,4.8,2022-03-01,22.25,22.416666666666668,5,2,1,0,120,2
113,31,4.8,2022-03-01,23.166666666666668,23.25,1,1,1,0,65,0
114,20,4.8,2022-03-30,9.25,9.5,4,2,0,0,80,10
115,36,4.9,2022-03-02,18.416666666666668,18.583333333333332,4,0,1,0,210,15
116,20,4.9,2022-03-20,22.166666666666668,22.333333333333332,1,2,1,3,85,14
117,24,4.6,2022-04-03,20.833333333333332,21.083333333333332,0,1,0,0,125,13
118,39,4.2,2022-03-29,18.75,18.833333333333332,1,2,0,0,195,1
119,37,4.8,2022-03-17,14.916666666666666,15.083333333333334,0,2,0,0,90,11
120,32,4.9,2022-03-17,16.833333333333332,17.0,5,3,0,0,140,10
121,22,4.5,2022-02-15,22.333333333333332,22.583333333333332,1,2,0,0,90,8
122,23,4.9,2022-03-18,0.0,0.25,2,2,0,0,90,4
123,33,4.7,2022-03-08,21.166666666666668,21.333333333333332,1,1,0,0,245,6
125,27,4.6,2022-03-31,23.5,23.583333333333332,1,1,0,0,105,11
126,34,4.7,2022-03-01,14.333333333333334,14.583333333333334,2,1,0,0,115,5
127,26,5.0,2022-04-03,10.25,10.416666666666666,3,1,1,0,55,4
128,31,4.6,2022-03-24,21.333333333333332,21.583333333333332,4,1,2,0,125,9
129,32,4.9,2022-03-07,8.833333333333334,8.916666666666666,2,0,1,3,90,0
130,27,4.7,2022-03-09,9.0,9.083333333333334,1,3,0,0,70,1
131,21,4.9,2022-03-12,17.75,18.0,0,2,1,0,180,10
132,28,4.8,2022-03-24,23.166666666666668,23.25,2,2,0,1,90,15
134,33,4.4,2022-03-05,8.5,8.666666666666666,0,0,0,0,140,3
135,20,4.6,2022-03-18,20.583333333333332,20.833333333333332,2,3,0,0,220,15
136,31,4.3,2022-03-13,23.416666666666668,23.666666666666668,0,1,0,3,100,14
137,36,5.0,2022-03-31,19.916666666666668,20.083333333333332,2,2,0,0,175,3
138,31,4.2,2022-03-23,21.333333333333332,21.5,1,3,0,3,50,13
139,39,4.1,2022-03-24,21.75,21.833333333333332,4,1,0,0,170,12
140,29,4.6,2022-03-12,19.666666666666668,19.916666666666668,5,2,1,0,85,3
141,29,4.6,2022-03-03,14.833333333333334,15.0,5,3,0,0,115,15
142,37,4.9,2022-03-09,18.166666666666668,18.333333333333332,1,1,0,0,135,3
144,31,3.9,2022-03-18,23.666666666666668,23.833333333333332,1,3,0,0,175,7
146,26,4.4,2022-03-07,23.333333333333332,23.5,5,3,0,3,115,3
147,24,4.6,2022-03-04,17.833333333333332,18.0,5,1,0,0,150,9
150,39,4.8,2022-04-01,12.5,12.75,5,0,0,0,140,14
151,20,4.7,2022-03-20,17.166666666666668,17.333333333333332,4,1,1,0,120,8
152,20,5.0,2022-03-31,19.25,19.5,1,3,0,0,180,4
153,29,4.3,2022-02-13,23.833333333333332,23.916666666666668,0,3,0,0,140,9
154,36,4.8,2022-03-29,18.75,18.833333333333332,2,2,1,0,155,7
155,36,4.0,2022-03-16,20.666666666666668,20.75,1,3,1,3,220,1
156,22,4.8,2022-03-14,22.166666666666668,22.416666666666668,5,0,0,0,75,3
157,38,4.4,2022-03-31,17.333333333333332,17.416666666666668,5,3,0,0,165,12
158,39,4.9,2022-03-17,19.916666666666668,20.166666666666668,0,1,0,0,150,7
159,24,4.9,2022-03-28,18.25,18.416666666666668,1,1,0,0,110,12
161,35,4.8,2022-03-04,17.416666666666668,17.583333333333332,3,1,0,0,240,8
162,33,4.5,2022-03-04,23.75,0.0,1,1,0,0,95,13
163,39,4.7,2022-02-14,18.5,18.583333333333332,2,2,0,0,105,14
164,31,4.3,2022-03-25,21.583333333333332,21.75,3,1,1,0,220,10
165,37,4.5,2022-03-17,8.666666666666666,8.916666666666666,2,1,0,2,130,2
166,37,4.7,2022-04-01,22.583333333333332,22.666666666666668,5,2,0,0,26,4
167,33,5.0,2022-03-19,11.75,11.833333333333334,0,0,0,0,155,13
169,33,4.5,2022-03-02,19.166666666666668,19.25,4,3,0,0,90,3
170,39,4.7,2022-02-16,18.75,19.0,4,2,0,0,190,4
171,37,4.6,2022-03-29,18.25,18.416666666666668,4,1,2,0,160,0
172,25,4.9,2022-03-07,22.5,22.583333333333332,1,0,0,0,85,8
173,28,4.8,2022-03-03,19.0,19.083333333333332,1,1,0,0,55,6
174,38,4.7,2022-03-30,13.166666666666666,13.333333333333334,4,1,0,0,155,14
175,31,4.6,2022-03-19,17.916666666666668,18.083333333333332,2,1,0,0,125,11
176,25,4.8,2022-03-15,19.833333333333332,20.083333333333332,2,2,1,3,110,14
177,35,4.9,2022-03-02,21.25,21.333333333333332,3,3,0,0,215,0
178,39,4.7,2022-03-31,19.583333333333332,19.75,0,1,0,0,210,4
179,38,3.9,2022-03-06,19.166666666666668,19.333333333333332,2,2,0,0,210,13
180,35,4.7,2022-03-21,21.333333333333332,21.5,5,3,1,0,170,4
181,29,4.7,2022-03-01,9.833333333333334,10.083333333333334,3,2,0,0,85,0
182,27,4.6,2022-03-24,20.583333333333332,20.666666666666668,1,3,0,0,125,8
183,38,4.3,2022-04-04,21.25,21.416666666666668,1,2,0,1,270,0
184,36,4.9,2022-03-02,23.0,23.25,3,1,2,0,105,0
185,26,4.0,2022-04-01,15.0,15.166666666666666,1,3,0,0,170,11
186,26,4.1,2022-02-12,19.75,19.833333333333332,1,3,1,0,180,3
187,36,4.9,2022-04-05,17.75,17.916666666666668,5,2,2,0,85,7
188,21,4.7,2022-03-03,9.0,9.166666666666666,5,3,0,0,80,2
189,35,4.7,2022-04-06,20.0,20.083333333333332,5,3,1,0,135,12
190,20,4.5,2022-03-17,12.833333333333334,12.916666666666666,2,3,0,0,130,12
191,23,4.6,2022-03-31,21.666666666666668,21.916666666666668,1,3,0,3,230,5
192,37,5.0,2022-02-17,19.916666666666668,20.083333333333332,4,3,0,0,145,11
193,26,4.8,2022-03-09,19.583333333333332,19.666666666666668,5,3,2,1,115,3
194,29,5.0,2022-03-27,22.583333333333332,22.833333333333332,3,1,1,0,55,12
195,26,4.9,2022-03-25,17.166666666666668,17.416666666666668,3,2,1,0,140,13
196,29,4.8,2022-03-11,19.583333333333332,19.666666666666668,3,2,0,0,125,0
197,29,4.7,2022-03-03,10.5,10.75,5,3,0,0,55,11
198,21,4.9,2022-02-15,18.166666666666668,18.333333333333332,4,0,0,0,130,15
199,22,4.3,2022-03-07,10.166666666666666,10.416666666666666,0,3,0,0,115,12
200,31,4.0,2022-03-18,17.833333333333332,18.083333333333332,2,3,0,0,195,0
201,20,4.5,2022-04-03,8.833333333333334,9.0,1,2,0,0,55,6
202,30,3.9,2022-04-06,19.916666666666668,20.166666666666668,0,1,0,0,160,0
203,36,4.8,2022-03-06,17.916666666666668,18.166666666666668,4,2,1,1,215,0
204,24,4.7,2022-03-19,15.5,15.666666666666666,1,3,2,3,65,1
205,32,4.7,2022-03-21,9.666666666666666,9.833333333333334,5,1,0,0,125,2
206,25,5.0,2022-03-19,18.333333333333332,18.416666666666668,5,2,0,0,135,2
207,27,4.5,2022-03-28,15.583333333333334,15.833333333333334,1,2,0,0,145,0
208,32,4.1,2022-03-29,18.25,18.5,2,2,0,0,165,7
209,23,4.7,2022-03-17,16.916666666666668,17.0,4,2,1,0,19,2
210,39,4.4,2022-03-29,18.166666666666668,18.25,1,2,1,0,165,8
212,20,4.8,2022-03-04,18.416666666666668,18.583333333333332,0,1,0,0,75,6
213,29,4.6,2022-02-15,20.5,20.75,5,2,0,3,145,15
214,26,4.9,2022-03-29,22.916666666666668,23.0,4,1,0,3,90,10
215,25,5.0,2022-02-13,10.916666666666666,11.0,3,0,0,0,70,9
216,34,4.7,2022-04-03,16.0,16.25,4,3,0,0,150,15
217,31,4.9,2022-02-13,14.833333333333334,15.083333333333334,2,2,0,0,140,2
219,30,4.9,2022-04-02,19.0,19.25,4,0,0,0,150,14
220,36,4.8,2022-03-20,18.25,18.333333333333332,5,2,0,3,180,4
221,36,4.4,2022-03-29,23.583333333333332,23.833333333333332,2,2,0,0,185,5
222,26,4.7,2022-03-04,19.583333333333332,19.666666666666668,3,2,0,0,215,0
223,30,4.6,2022-03-27,23.583333333333332,23.75,3,2,0,0,145,10
225,33,4.7,2022-03-09,18.166666666666668,18.416666666666668,5,1,0,3,75,14
226,34,4.0,2022-03-12,21.166666666666668,21.25,2,3,0,3,195,6
227,36,4.6,2022-04-04,23.666666666666668,23.833333333333332,1,3,0,0,100,14
228,33,4.6,2022-02-11,11.0,11.166666666666666,3,2,1,0,75,13
229,22,4.8,2022-02-18,22.75,23.0,5,1,0,0,80,11
230,38,4.7,2022-03-19,11.0,11.25,3,1,0,0,95,7
231,27,4.9,2022-03-02,23.416666666666668,23.666666666666668,4,3,0,0,100,4
232,32,4.8,2022-02-14,21.0,21.166666666666668,1,2,1,0,125,12
233,26,4.8,2022-03-27,19.5,19.666666666666668,0,0,1,0,215,5
234,29,4.5,2022-03-04,22.916666666666668,23.083333333333332,4,0,0,0,75,11
235,31,4.5,2022-04-06,20.416666666666668,20.666666666666668,3,3,1,0,145,8
236,28,4.6,2022-03-26,12.583333333333334,12.833333333333334,0,1,0,0,70,5
237,21,4.8,2022-02-11,18.916666666666668,19.0,2,1,0,0,55,8
238,21,4.0,2022-03-28,22.75,22.833333333333332,4,1,0,0,95,15
240,29,4.7,2022-02-11,15.416666666666666,15.5,3,1,1,3,55,4
241,20,4.8,2022-03-28,11.5,11.666666666666666,1,3,0,0,70,6
242,28,5.0,2022-02-16,22.583333333333332,22.75,5,1,0,0,75,5
243,25,4.7,2022-03-16,23.583333333333332,23.75,3,2,0,1,16,5
244,38,4.8,2022-03-28,10.416666666666666,10.5,2,2,0,0,100,7
245,39,4.9,2022-03-03,22.333333333333332,22.5,2,1,0,3,130,13
246,26,4.9,2022-03-13,17.25,17.333333333333332,3,0,0,0,130,8
247,33,4.4,2022-03-14,21.5,21.75,0,3,1,0,215,3
248,24,4.6,2022-03-01,18.666666666666668,18.833333333333332,5,1,0,0,125,6
249,24,4.9,2022-03-21,15.166666666666666,15.333333333333334,1,1,0,0,140,12
250,33,4.5,2022-03-10,22.833333333333332,23.083333333333332,1,2,1,1,85,1
251,35,4.2,2022-03-20,19.5,19.666666666666668,2,1,1,0,220,2
252,27,4.2,2022-04-06,20.5,20.583333333333332,3,1,0,3,165,1
253,29,4.5,2022-04-03,18.75,18.833333333333332,1,2,0,3,75,0
254,34,4.7,2022-02-12,23.166666666666668,23.333333333333332,0,3,2,0,135,0
255,20,4.7,2022-02-11,11.166666666666666,11.416666666666666,2,1,0,0,25,3
256,29,4.8,2022-04-05,13.833333333333334,13.916666666666666,0,0,1,0,90,15
257,22,4.9,2022-04-05,18.666666666666668,18.75,2,1,0,0,105,3
258,35,4.9,2022-02-18,21.25,21.5,1,2,1,1,53,13
259,32,4.4,2022-02-12,21.75,21.916666666666668,1,3,2,0,210,15
260,28,4.9,2022-02-14,21.333333333333332,21.583333333333332,2,1,1,3,100,4
261,30,4.7,2022-03-02,22.75,22.916666666666668,1,2,0,0,145,6
262,22,4.7,2022-04-04,20.166666666666668,20.333333333333332,3,3,0,0,75,7
263,36,4.7,2022-03-09,18.333333333333332,18.583333333333332,5,2,1,3,150,6
264,23,4.8,2022-03-12,20.666666666666668,20.75,2,0,0,0,28,10
265,22,4.8,2022-04-01,10.0,10.083333333333334,2,1,2,3,19,8
266,29,4.5,2022-02-18,22.5,22.666666666666668,0,3,2,3,75,6
267,34,4.9,2022-03-23,21.833333333333332,22.083333333333332,4,2,0,0,250,4
268,38,4.1,2022-03-05,11.833333333333334,11.916666666666666,5,1,0,0,205,14
271,32,4.3,2022-02-16,18.666666666666668,18.916666666666668,4,3,0,0,175,11
272,20,4.5,2022-03-02,20.416666666666668,20.583333333333332,5,1,0,0,135,15
273,25,4.9,2022-03-02,21.75,21.833333333333332,5,2,0,0,215,13
274,29,4.5,2022-04-05,22.333333333333332,22.5,0,2,0,3,60,3
275,32,4.7,2022-02-13,20.916666666666668,21.166666666666668,1,0,1,3,155,11
277,31,4.4,2022-03-20,21.25,21.333333333333332,2,3,1,3,235,10
278,37,4.5,2022-03-11,23.5,23.583333333333332,5,2,0,3,130,4
279,36,4.9,2022-02-18,17.25,17.5,5,3,0,0,155,2
280,37,3.8,2022-04-04,20.75,20.916666666666668,3,0,1,0,210,2
281,38,4.9,2022-03-09,13.5,13.666666666666666,0,2,0,3,125,13
282,37,4.4,2022-02-18,22.0,22.166666666666668,5,2,0,0,195,4
283,21,4.9,2022-03-20,23.333333333333332,23.5,1,3,0,0,105,6
284,35,4.9,2022-03-26,18.583333333333332,18.666666666666668,1,3,0,0,90,2
285,22,4.8,2022-03-29,20.666666666666668,20.916666666666668,5,3,2,3,110,5
286,28,4.8,2022-03-01,8.416666666666666,8.666666666666666,4,3,0,0,115,5
287,39,4.0,2022-03-18,17.75,17.916666666666668,2,2,1,0,240,7
288,29,4.5,2022-03-31,22.416666666666668,22.666666666666668,3,1,2,0,65,15
289,39,4.6,2022-03-30,11.5,11.666666666666666,5,1,1,0,160,6
290,25,4.9,2022-03-06,21.75,21.833333333333332,1,0,0,0,80,13
291,34,5.0,2022-03-05,17.416666666666668,17.5,0,2,0,0,95,11
292,22,4.8,2022-03-26,9.666666666666666,9.75,2,1,1,3,90,6
293,27,5.0,2022-02-16,20.916666666666668,21.083333333333332,1,2,1,3,135,5
294,28,4.5,2022-03-12,17.166666666666668,17.333333333333332,4,2,1,3,125,7
295,32,5.0,2022-03-01,18.416666666666668,18.666666666666668,1,1,0,0,155,4
296,27,4.6,2022-03-16,17.916666666666668,18.0,0,1,1,0,100,15
297,35,3.9,2022-03-29,19.916666666666668,20.166666666666668,5,2,0,0,190,5
298,22,4.6,2022-03-05,23.0,23.083333333333332,2,3,0,0,95,5
300,30,4.6,2022-03-13,10.666666666666666,10.916666666666666,5,3,1,1,120,2
301,39,4.8,2022-03-13,11.333333333333334,11.416666666666666,5,3,2,0,130,9
302,33,4.8,2022-04-03,18.0,18.166666666666668,3,0,2,3,140,1
303,20,4.7,2022-03-23,17.166666666666668,17.25,2,1,0,0,80,8
305,34,4.2,2022-03-13,23.166666666666668,23.25,0,2,0,0,120,2
306,22,4.7,2022-03-29,17.25,17.5,0,3,0,3,120,5
307,37,4.3,2022-03-15,11.916666666666666,12.083333333333334,5,2,1,0,170,7
308,20,4.8,2022-03-09,9.5,9.75,5,0,1,0,80,11
309,33,4.9,2022-04-05,22.666666666666668,22.833333333333332,0,0,0,0,130,11
310,21,5.0,2022-04-02,17.166666666666668,17.25,4,2,1,0,125,5
311,33,4.6,2022-03-10,17.166666666666668,17.416666666666668,5,3,2,0,245,0
312,24,4.6,2022-03-23,18.5,18.666666666666668,5,2,0,0,24,0
314,30,4.6,2022-03-07,19.0,19.166666666666668,0,1,1,0,26,0
315,32,4.9,2022-03-18,23.916666666666668,0.16666666666666666,0,2,0,0,120,11
316,28,4.6,2022-03-31,19.75,19.833333333333332,4,0,0,0,80,2
317,21,4.7,2022-04-04,20.5,20.666666666666668,0,1,1,3,135,11
318,39,4.9,2022-02-17,11.166666666666666,11.25,3,3,0,0,125,7
319,32,4.7,2022-03-26,9.0,9.166666666666666,4,3,0,0,130,10
320,20,4.5,2022-03-28,19.5,19.583333333333332,3,2,2,0,125,2
321,36,5.0,2022-03-15,8.333333333333334,8.416666666666666,5,3,0,0,15,4
322,28,4.8,2022-03-17,11.0,11.083333333333334,1,1,1,0,90,0
323,32,4.5,2022-03-09,20.5,20.583333333333332,3,1,0,0,150,4
324,39,4.4,2022-04-02,19.75,20.0,3,0,1,0,230,11
325,30,4.7,2022-03-29,22.416666666666668,22.5,3,3,1,0,24,11
326,32,4.4,2022-03-05,16.0,16.083333333333332,0,2,0,0,37,12
327,23,4.6,2022-03-29,21.5,21.583333333333332,5,2,0,3,135,6
328,21,4.8,2022-03-05,15.416666666666666,15.583333333333334,5,3,0,0,135,12
329,31,4.2,2022-03-05,17.416666666666668,17.583333333333332,2,3,0,0,160,11
330,37,4.6,2022-03-13,11.75,12.0,5,1,1,0,140,9
331,20,4.5,2022-03-03,20.25,20.333333333333332,2,1,0,0,145,11
332,28,4.5,2022-03-03,10.416666666666666,10.583333333333334,0,1,0,0,135,12
333,22,4.9,2022-03-24,8.416666666666666,8.5,4,1,0,0,55,4
334,20,4.7,2022-03-15,17.25,17.333333333333332,5,3,1,0,13,0
335,34,4.8,2022-03-12,22.75,22.833333333333332,3,2,0,3,135,14
336,38,4.8,2022-03-13,12.583333333333334,12.666666666666666,2,2,0,0,125,5
337,32,4.5,2022-04-05,12.333333333333334,12.416666666666666,3,0,1,0,135,15
338,34,4.9,2022-03-02,22.916666666666668,23.083333333333332,2,1,0,0,26,3
339,33,3.9,2022-03-08,17.416666666666668,17.5,3,2,0,0,160,4
340,34,4.5,2022-03-21,10.583333333333334,10.75,5,2,0,0,125,5
342,34,4.7,2022-03-11,19.833333333333332,20.083333333333332,2,3,0,0,145,4
343,26,4.6,2022-03-10,19.5,19.583333333333332,4,2,0,0,160,15
344,31,4.0,2022-03-12,23.75,23.916666666666668,0,3,0,0,175,8
345,39,4.8,2022-03-19,14.833333333333334,15.083333333333334,5,3,0,0,135,10
347,32,5.0,2022-03-09,21.916666666666668,22.166666666666668,1,1,0,0,135,12
348,32,4.5,2022-02-13,17.166666666666668,17.25,3,2,1,0,150,7
349,39,4.1,2022-03-27,18.666666666666668,18.833333333333332,3,2,1,0,160,10
350,36,4.8,2022-03-21,10.25,10.333333333333334,3,3,0,3,125,7
351,37,4.1,2022-03-15,17.75,18.0,4,1,1,3,190,12
352,37,4.8,2022-03-26,21.0,21.083333333333332,0,1,0,0,130,15
353,38,3.7,2022-03-25,20.5,20.666666666666668,5,2,0,0,155,5
354,28,4.7,2022-03-01,11.666666666666666,11.916666666666666,2,2,0,3,140,5
355,34,3.8,2022-03-10,18.666666666666668,18.916666666666668,5,2,0,3,155,13
356,32,4.9,2022-03-27,23.25,23.416666666666668,3,0,0,0,145,11
357,22,4.7,2022-03-11,23.583333333333332,23.666666666666668,0,0,0,0,85,11
358,31,4.0,2022-02-14,17.75,17.916666666666668,0,2,1,0,225,12
359,27,4.0,2022-03-29,19.0,19.25,2,1,0,0,170,3
360,29,4.9,2022-03-20,19.583333333333332,19.75,0,1,1,0,120,1
361,38,4.8,2022-03-28,21.666666666666668,21.916666666666668,5,2,1,3,220,5
362,35,4.8,2022-04-01,20.833333333333332,21.083333333333332,5,3,0,3,180,14
363,31,4.9,2022-04-03,20.5,20.583333333333332,1,3,0,0,140,4
364,30,4.3,2022-03-06,18.583333333333332,18.666666666666668,2,3,2,3,185,12
366,33,4.8,2022-03-10,23.25,23.5,2,0,2,3,115,5
367,29,4.6,2022-02-18,23.666666666666668,23.916666666666668,3,2,0,0,22,0
368,38,4.6,2022-03-17,12.75,12.916666666666666,5,1,0,0,130,2
369,26,4.9,2022-03-13,20.25,20.333333333333332,5,1,0,3,170,13
372,34,4.2,2022-03-21,22.833333333333332,23.0,2,1,0,0,140,5
373,26,4.7,2022-03-09,22.75,22.916666666666668,3,2,1,0,14,6
374,35,4.7,2022-03-03,15.166666666666666,15.25,0,2,0,0,85,5
375,36,4.2,2022-04-01,18.5,18.583333333333332,5,2,0,0,185,12
376,24,2.6,2022-04-06,22.583333333333332,22.833333333333332,5,1,0,3,210,6
