,Agent_Age,Agent_Rating,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,wait_time,order_hour,pickup_hour,day_of_week,is_weekend
42,37,4.7,19.75,3,1,1,0,260,3,-27483840.0,0,0,0,0
43,28,4.6,19.166666666666668,1,2,1,3,110,5,-27444960.0,0,0,1,0
44,37,4.9,10.916666666666666,4,1,2,0,16,0,-27411840.0,0,0,6,1
45,23,4.9,21.666666666666668,5,3,1,0,55,13,-27468000.0,0,0,3,0
46,27,4.9,19.0,0,3,0,3,125,7,-27460800.0,0,0,5,1
47,37,4.8,16.75,4,0,1,0,130,11,-27446400.0,0,0,2,0
48,33,5.0,11.5,1,3,0,0,90,1,-27460800.0,0,0,5,1
49,31,4.9,15.166666666666666,3,2,1,0,80,3,-27482400.0,0,0,6,1
50,31,4.8,22.75,2,1,0,0,115,8,-27469440.0,0,0,4,0
52,28,4.8,20.75,4,3,0,3,180,13,-27483840.0,0,0,0,0
53,31,4.7,22.833333333333332,4,2,0,0,80,7,-27470880.0,0,0,5,1
54,24,4.7,17.916666666666668,5,2,1,1,95,11,-27447840.0,0,0,3,0
55,39,4.6,22.75,2,2,1,3,135,3,-27413280.0,0,0,0,0
57,32,4.5,9.416666666666666,0,2,1,0,100,11,-27470880.0,0,0,5,1
59,25,4.8,22.416666666666668,1,3,1,0,90,10,-27475200.0,0,0,1,0
60,33,4.9,21.916666666666668,2,2,2,0,110,11,-27476640.0,0,0,2,0
61,30,4.4,22.666666666666668,3,1,0,0,170,12,-27450720.0,0,0,5,1
62,33,5.0,23.833333333333332,0,1,1,0,120,6,-27478080.0,0,0,3,0
63,36,4.9,15.416666666666666,4,0,1,3,85,14,-27457920.0,0,0,3,0
64,21,4.8,10.333333333333334,1,3,1,0,70,9,-27414720.0,0,0,1,0
65,39,4.9,20.916666666666668,1,2,0,0,150,11,-27414720.0,0,0,1,0
68,39,4.6,20.166666666666668,5,0,2,0,180,13,-27456480.0,0,0,2,0
69,22,4.7,12.166666666666666,0,1,1,0,90,0,-27457920.0,0,0,3,0
70,32,4.6,15.5,0,3,1,0,85,7,-27455040.0,0,0,1,0
73,26,4.7,23.833333333333332,3,1,0,0,50,6,-27440640.0,0,0,5,1
75,35,4.1,20.416666666666668,5,0,1,3,185,13,-27450720.0,0,0,5,1
76,39,4.6,20.833333333333332,1,2,0,3,220,8,-27475200.0,0,0,1,0
77,34,4.7,12.583333333333334,1,2,0,0,140,4,-27460800.0,0,0,5,1
78,27,4.7,21.0,3,1,0,0,210,3,-27447840.0,0,0,3,0
80,25,4.4,18.25,2,2,1,0,195,2,-27472320.0,0,0,6,1
81,25,4.7,18.333333333333332,0,2,1,3,100,1,-27472320.0,0,0,6,1
82,30,5.0,11.75,4,3,2,0,155,6,-27468000.0,0,0,3,0
83,24,4.6,20.75,3,1,0,0,65,4,-27446400.0,0,0,2,0
84,39,4.8,21.916666666666668,4,2,0,0,140,9,-27437760.0,0,0,3,0
85,25,4.8,12.75,2,2,2,0,95,2,-27414720.0,0,0,1,0
86,37,4.6,23.5,1,2,0,0,210,13,-27419040.0,0,0,4,0
87,24,5.0,10.833333333333334,0,0,1,0,115,12,-27434880.0,0,0,1,0
88,25,4.2,21.416666666666668,5,2,0,0,195,14,-27466560.0,0,0,2,0
89,32,4.6,10.166666666666666,0,2,1,3,125,5,-27479520.0,0,0,4,0
90,34,4.7,23.0,5,2,0,0,75,4,-27416160.0,0,0,2,0
91,38,4.9,8.666666666666666,3,2,0,3,75,1,-27449280.0,0,0,4,0
92,36,4.8,17.833333333333332,2,2,0,3,75,0,-27453600.0,0,0,0,0
93,25,5.0,20.416666666666668,2,1,0,0,75,0,-27459360.0,0,0,4,0
94,29,5.0,22.333333333333332,0,2,1,3,90,7,-27479520.0,0,0,4,0
95,36,4.7,23.666666666666668,1,1,1,0,145,1,-27483840.0,0,0,0,0
96,33,4.7,23.416666666666668,2,2,1,3,100,14,-27449280.0,0,0,4,0
97,36,4.4,12.666666666666666,0,1,0,0,195,12,-27452160.0,0,0,6,1
98,21,4.8,23.5,4,2,0,0,95,9,-27439200.0,0,0,4,0
99,25,4.8,23.916666666666668,0,2,1,0,19,1,-27470880.0,0,0,5,1
100,23,4.8,22.833333333333332,4,2,0,0,85,11,-27456480.0,0,0,2,0
101,25,4.6,10.416666666666666,5,1,0,0,75,1,-27434880.0,0,0,1,0
102,24,4.3,8.75,2,2,1,0,95,14,-27455040.0,0,0,1,0
103,27,4.6,21.416666666666668,4,2,2,0,145,8,-27439200.0,0,0,4,0
104,23,4.8,22.583333333333332,0,2,0,1,110,14,-27459360.0,0,0,4,0
105,21,4.3,20.166666666666668,0,3,0,3,210,3,-27466560.0,0,0,2,0
106,27,4.7,10.916666666666666,2,2,0,0,60,15,-27455040.0,0,0,1,0
107,32,4.2,20.583333333333332,0,1,0,0,190,7,-27444960.0,0,0,1,0
108,25,4.6,23.333333333333332,1,3,1,0,115,2,-27447840.0,0,0,3,0
109,39,4.7,10.583333333333334,4,0,1,0,75,11,-27408960.0,0,0,4,0
110,27,4.6,23.75,2,3,0,0,120,1,-27453600.0,0,0,0,0
111,39,3.8,19.916666666666668,2,2,1,0,185,12,-27456480.0,0,0,2,0
112,31,4.8,22.25,5,2,1,0,120,2,-27434880.0,0,0,1,0
113,31,4.8,23.166666666666668,1,1,1,0,65,0,-27434880.0,0,0,1,0
114,20,4.8,9.25,4,2,0,0,80,10,-27476640.0,0,0,2,0
115,36,4.9,18.416666666666668,4,0,1,0,210,15,-27436320.0,0,0,2,0
116,20,4.9,22.166666666666668,1,2,1,3,85,14,-27462240.0,0,0,6,1
117,24,4.6,20.833333333333332,0,1,0,0,125,13,-27482400.0,0,0,6,1
118,39,4.2,18.75,1,2,0,0,195,1,-27475200.0,0,0,1,0
119,37,4.8,14.916666666666666,0,2,0,0,90,11,-27457920.0,0,0,3,0
120,32,4.9,16.833333333333332,5,3,0,0,140,10,-27457920.0,0,0,3,0
121,22,4.5,22.333333333333332,1,2,0,0,90,8,-27414720.0,0,0,1,0
122,23,4.9,0.0,2,2,0,0,90,4,-27459360.0,0,0,4,0
123,33,4.7,21.166666666666668,1,1,0,0,245,6,-27444960.0,0,0,1,0
125,27,4.6,23.5,1,1,0,0,105,11,-27478080.0,0,0,3,0
126,34,4.7,14.333333333333334,2,1,0,0,115,5,-27434880.0,0,0,1,0
127,26,5.0,10.25,3,1,1,0,55,4,-27482400.0,0,0,6,1
128,31,4.6,21.333333333333332,4,1,2,0,125,9,-27468000.0,0,0,3,0
129,32,4.9,8.833333333333334,2,0,1,3,90,0,-27443520.0,0,0,0,0
130,27,4.7,9.0,1,3,0,0,70,1,-27446400.0,0,0,2,0
131,21,4.9,17.75,0,2,1,0,180,10,-27450720.0,0,0,5,1
132,28,4.8,23.166666666666668,2,2,0,1,90,15,-27468000.0,0,0,3,0
134,33,4.4,8.5,0,0,0,0,140,3,-27440640.0,0,0,5,1
135,20,4.6,20.583333333333332,2,3,0,0,220,15,-27459360.0,0,0,4,0
136,31,4.3,23.416666666666668,0,1,0,3,100,14,-27452160.0,0,0,6,1
137,36,5.0,19.916666666666668,2,2,0,0,175,3,-27478080.0,0,0,3,0
138,31,4.2,21.333333333333332,1,3,0,3,50,13,-27466560.0,0,0,2,0
139,39,4.1,21.75,4,1,0,0,170,12,-27468000.0,0,0,3,0
140,29,4.6,19.666666666666668,5,2,1,0,85,3,-27450720.0,0,0,5,1
141,29,4.6,14.833333333333334,5,3,0,0,115,15,-27437760.0,0,0,3,0
142,37,4.9,18.166666666666668,1,1,0,0,135,3,-27446400.0,0,0,2,0
144,31,3.9,23.666666666666668,1,3,0,0,175,7,-27459360.0,0,0,4,0
146,26,4.4,23.333333333333332,5,3,0,3,115,3,-27443520.0,0,0,0,0
147,24,4.6,17.833333333333332,5,1,0,0,150,9,-27439200.0,0,0,4,0
150,39,4.8,12.5,5,0,0,0,140,14,-27479520.0,0,0,4,0
151,20,4.7,17.166666666666668,4,1,1,0,120,8,-27462240.0,0,0,6,1
152,20,5.0,19.25,1,3,0,0,180,4,-27478080.0,0,0,3,0
153,29,4.3,23.833333333333332,0,3,0,0,140,9,-27411840.0,0,0,6,1
154,36,4.8,18.75,2,2,1,0,155,7,-27475200.0,0,0,1,0
155,36,4.0,20.666666666666668,1,3,1,3,220,1,-27456480.0,0,0,2,0
156,22,4.8,22.166666666666668,5,0,0,0,75,3,-27453600.0,0,0,0,0
157,38,4.4,17.333333333333332,5,3,0,0,165,12,-27478080.0,0,0,3,0
158,39,4.9,19.916666666666668,0,1,0,0,150,7,-27457920.0,0,0,3,0
159,24,4.9,18.25,1,1,0,0,110,12,-27473760.0,0,0,0,0
161,35,4.8,17.416666666666668,3,1,0,0,240,8,-27439200.0,0,0,4,0
162,33,4.5,23.75,1,1,0,0,95,13,-27439200.0,0,0,4,0
163,39,4.7,18.5,2,2,0,0,105,14,-27413280.0,0,0,0,0
164,31,4.3,21.583333333333332,3,1,1,0,220,10,-27469440.0,0,0,4,0
165,37,4.5,8.666666666666666,2,1,0,2,130,2,-27457920.0,0,0,3,0
166,37,4.7,22.583333333333332,5,2,0,0,26,4,-27479520.0,0,0,4,0
167,33,5.0,11.75,0,0,0,0,155,13,-27460800.0,0,0,5,1
169,33,4.5,19.166666666666668,4,3,0,0,90,3,-27436320.0,0,0,2,0
170,39,4.7,18.75,4,2,0,0,190,4,-27416160.0,0,0,2,0
171,37,4.6,18.25,4,1,2,0,160,0,-27475200.0,0,0,1,0
172,25,4.9,22.5,1,0,0,0,85,8,-27443520.0,0,0,0,0
173,28,4.8,19.0,1,1,0,0,55,6,-27437760.0,0,0,3,0
174,38,4.7,13.166666666666666,4,1,0,0,155,14,-27476640.0,0,0,2,0
175,31,4.6,17.916666666666668,2,1,0,0,125,11,-27460800.0,0,0,5,1
176,25,4.8,19.833333333333332,2,2,1,3,110,14,-27455040.0,0,0,1,0
177,35,4.9,21.25,3,3,0,0,215,0,-27436320.0,0,0,2,0
178,39,4.7,19.583333333333332,0,1,0,0,210,4,-27478080.0,0,0,3,0
179,38,3.9,19.166666666666668,2,2,0,0,210,13,-27442080.0,0,0,6,1
180,35,4.7,21.333333333333332,5,3,1,0,170,4,-27463680.0,0,0,0,0
181,29,4.7,9.833333333333334,3,2,0,0,85,0,-27434880.0,0,0,1,0
182,27,4.6,20.583333333333332,1,3,0,0,125,8,-27468000.0,0,0,3,0
183,38,4.3,21.25,1,2,0,1,270,0,-27483840.0,0,0,0,0
184,36,4.9,23.0,3,1,2,0,105,0,-27436320.0,0,0,2,0
185,26,4.0,15.0,1,3,0,0,170,11,-27479520.0,0,0,4,0
186,26,4.1,19.75,1,3,1,0,180,3,-27410400.0,0,0,5,1
187,36,4.9,17.75,5,2,2,0,85,7,-27485280.0,0,0,1,0
188,21,4.7,9.0,5,3,0,0,80,2,-27437760.0,0,0,3,0
189,35,4.7,20.0,5,3,1,0,135,12,-27486720.0,0,0,2,0
190,20,4.5,12.833333333333334,2,3,0,0,130,12,-27457920.0,0,0,3,0
191,23,4.6,21.666666666666668,1,3,0,3,230,5,-27478080.0,0,0,3,0
192,37,5.0,19.916666666666668,4,3,0,0,145,11,-27417600.0,0,0,3,0
193,26,4.8,19.583333333333332,5,3,2,1,115,3,-27446400.0,0,0,2,0
194,29,5.0,22.583333333333332,3,1,1,0,55,12,-27472320.0,0,0,6,1
195,26,4.9,17.166666666666668,3,2,1,0,140,13,-27469440.0,0,0,4,0
196,29,4.8,19.583333333333332,3,2,0,0,125,0,-27449280.0,0,0,4,0
197,29,4.7,10.5,5,3,0,0,55,11,-27437760.0,0,0,3,0
198,21,4.9,18.166666666666668,4,0,0,0,130,15,-27414720.0,0,0,1,0
199,22,4.3,10.166666666666666,0,3,0,0,115,12,-27443520.0,0,0,0,0
200,31,4.0,17.833333333333332,2,3,0,0,195,0,-27459360.0,0,0,4,0
201,20,4.5,8.833333333333334,1,2,0,0,55,6,-27482400.0,0,0,6,1
202,30,3.9,19.916666666666668,0,1,0,0,160,0,-27486720.0,0,0,2,0
203,36,4.8,17.916666666666668,4,2,1,1,215,0,-27442080.0,0,0,6,1
204,24,4.7,15.5,1,3,2,3,65,1,-27460800.0,0,0,5,1
205,32,4.7,9.666666666666666,5,1,0,0,125,2,-27463680.0,0,0,0,0
206,25,5.0,18.333333333333332,5,2,0,0,135,2,-27460800.0,0,0,5,1
207,27,4.5,15.583333333333334,1,2,0,0,145,0,-27473760.0,0,0,0,0
208,32,4.1,18.25,2,2,0,0,165,7,-27475200.0,0,0,1,0
209,23,4.7,16.916666666666668,4,2,1,0,19,2,-27457920.0,0,0,3,0
210,39,4.4,18.166666666666668,1,2,1,0,165,8,-27475200.0,0,0,1,0
212,20,4.8,18.416666666666668,0,1,0,0,75,6,-27439200.0,0,0,4,0
213,29,4.6,20.5,5,2,0,3,145,15,-27414720.0,0,0,1,0
214,26,4.9,22.916666666666668,4,1,0,3,90,10,-27475200.0,0,0,1,0
215,25,5.0,10.916666666666666,3,0,0,0,70,9,-27411840.0,0,0,6,1
216,34,4.7,16.0,4,3,0,0,150,15,-27482400.0,0,0,6,1
217,31,4.9,14.833333333333334,2,2,0,0,140,2,-27411840.0,0,0,6,1
219,30,4.9,19.0,4,0,0,0,150,14,-27480960.0,0,0,5,1
220,36,4.8,18.25,5,2,0,3,180,4,-27462240.0,0,0,6,1
221,36,4.4,23.583333333333332,2,2,0,0,185,5,-27475200.0,0,0,1,0
222,26,4.7,19.583333333333332,3,2,0,0,215,0,-27439200.0,0,0,4,0
223,30,4.6,23.583333333333332,3,2,0,0,145,10,-27472320.0,0,0,6,1
225,33,4.7,18.166666666666668,5,1,0,3,75,14,-27446400.0,0,0,2,0
226,34,4.0,21.166666666666668,2,3,0,3,195,6,-27450720.0,0,0,5,1
227,36,4.6,23.666666666666668,1,3,0,0,100,14,-27483840.0,0,0,0,0
228,33,4.6,11.0,3,2,1,0,75,13,-27408960.0,0,0,4,0
229,22,4.8,22.75,5,1,0,0,80,11,-27419040.0,0,0,4,0
230,38,4.7,11.0,3,1,0,0,95,7,-27460800.0,0,0,5,1
231,27,4.9,23.416666666666668,4,3,0,0,100,4,-27436320.0,0,0,2,0
232,32,4.8,21.0,1,2,1,0,125,12,-27413280.0,0,0,0,0
233,26,4.8,19.5,0,0,1,0,215,5,-27472320.0,0,0,6,1
234,29,4.5,22.916666666666668,4,0,0,0,75,11,-27439200.0,0,0,4,0
235,31,4.5,20.416666666666668,3,3,1,0,145,8,-27486720.0,0,0,2,0
236,28,4.6,12.583333333333334,0,1,0,0,70,5,-27470880.0,0,0,5,1
237,21,4.8,18.916666666666668,2,1,0,0,55,8,-27408960.0,0,0,4,0
238,21,4.0,22.75,4,1,0,0,95,15,-27473760.0,0,0,0,0
240,29,4.7,15.416666666666666,3,1,1,3,55,4,-27408960.0,0,0,4,0
241,20,4.8,11.5,1,3,0,0,70,6,-27473760.0,0,0,0,0
242,28,5.0,22.583333333333332,5,1,0,0,75,5,-27416160.0,0,0,2,0
243,25,4.7,23.583333333333332,3,2,0,1,16,5,-27456480.0,0,0,2,0
244,38,4.8,10.416666666666666,2,2,0,0,100,7,-27473760.0,0,0,0,0
245,39,4.9,22.333333333333332,2,1,0,3,130,13,-27437760.0,0,0,3,0
246,26,4.9,17.25,3,0,0,0,130,8,-27452160.0,0,0,6,1
247,33,4.4,21.5,0,3,1,0,215,3,-27453600.0,0,0,0,0
248,24,4.6,18.666666666666668,5,1,0,0,125,6,-27434880.0,0,0,1,0
249,24,4.9,15.166666666666666,1,1,0,0,140,12,-27463680.0,0,0,0,0
250,33,4.5,22.833333333333332,1,2,1,1,85,1,-27447840.0,0,0,3,0
251,35,4.2,19.5,2,1,1,0,220,2,-27462240.0,0,0,6,1
252,27,4.2,20.5,3,1,0,3,165,1,-27486720.0,0,0,2,0
253,29,4.5,18.75,1,2,0,3,75,0,-27482400.0,0,0,6,1
254,34,4.7,23.166666666666668,0,3,2,0,135,0,-27410400.0,0,0,5,1
255,20,4.7,11.166666666666666,2,1,0,0,25,3,-27408960.0,0,0,4,0
256,29,4.8,13.833333333333334,0,0,1,0,90,15,-27485280.0,0,0,1,0
257,22,4.9,18.666666666666668,2,1,0,0,105,3,-27485280.0,0,0,1,0
258,35,4.9,21.25,1,2,1,1,53,13,-27419040.0,0,0,4,0
259,32,4.4,21.75,1,3,2,0,210,15,-27410400.0,0,0,5,1
260,28,4.9,21.333333333333332,2,1,1,3,100,4,-27413280.0,0,0,0,0
261,30,4.7,22.75,1,2,0,0,145,6,-27436320.0,0,0,2,0
262,22,4.7,20.166666666666668,3,3,0,0,75,7,-27483840.0,0,0,0,0
263,36,4.7,18.333333333333332,5,2,1,3,150,6,-27446400.0,0,0,2,0
264,23,4.8,20.666666666666668,2,0,0,0,28,10,-27450720.0,0,0,5,1
265,22,4.8,10.0,2,1,2,3,19,8,-27479520.0,0,0,4,0
266,29,4.5,22.5,0,3,2,3,75,6,-27419040.0,0,0,4,0
267,34,4.9,21.833333333333332,4,2,0,0,250,4,-27466560.0,0,0,2,0
268,38,4.1,11.833333333333334,5,1,0,0,205,14,-27440640.0,0,0,5,1
271,32,4.3,18.666666666666668,4,3,0,0,175,11,-27416160.0,0,0,2,0
272,20,4.5,20.416666666666668,5,1,0,0,135,15,-27436320.0,0,0,2,0
273,25,4.9,21.75,5,2,0,0,215,13,-27436320.0,0,0,2,0
274,29,4.5,22.333333333333332,0,2,0,3,60,3,-27485280.0,0,0,1,0
275,32,4.7,20.916666666666668,1,0,1,3,155,11,-27411840.0,0,0,6,1
277,31,4.4,21.25,2,3,1,3,235,10,-27462240.0,0,0,6,1
278,37,4.5,23.5,5,2,0,3,130,4,-27449280.0,0,0,4,0
279,36,4.9,17.25,5,3,0,0,155,2,-27419040.0,0,0,4,0
280,37,3.8,20.75,3,0,1,0,210,2,-27483840.0,0,0,0,0
281,38,4.9,13.5,0,2,0,3,125,13,-27446400.0,0,0,2,0
282,37,4.4,22.0,5,2,0,0,195,4,-27419040.0,0,0,4,0
283,21,4.9,23.333333333333332,1,3,0,0,105,6,-27462240.0,0,0,6,1
284,35,4.9,18.583333333333332,1,3,0,0,90,2,-27470880.0,0,0,5,1
285,22,4.8,20.666666666666668,5,3,2,3,110,5,-27475200.0,0,0,1,0
286,28,4.8,8.416666666666666,4,3,0,0,115,5,-27434880.0,0,0,1,0
287,39,4.0,17.75,2,2,1,0,240,7,-27459360.0,0,0,4,0
288,29,4.5,22.416666666666668,3,1,2,0,65,15,-27478080.0,0,0,3,0
289,39,4.6,11.5,5,1,1,0,160,6,-27476640.0,0,0,2,0
290,25,4.9,21.75,1,0,0,0,80,13,-27442080.0,0,0,6,1
291,34,5.0,17.416666666666668,0,2,0,0,95,11,-27440640.0,0,0,5,1
292,22,4.8,9.666666666666666,2,1,1,3,90,6,-27470880.0,0,0,5,1
293,27,5.0,20.916666666666668,1,2,1,3,135,5,-27416160.0,0,0,2,0
294,28,4.5,17.166666666666668,4,2,1,3,125,7,-27450720.0,0,0,5,1
295,32,5.0,18.416666666666668,1,1,0,0,155,4,-27434880.0,0,0,1,0
296,27,4.6,17.916666666666668,0,1,1,0,100,15,-27456480.0,0,0,2,0
297,35,3.9,19.916666666666668,5,2,0,0,190,5,-27475200.0,0,0,1,0
298,22,4.6,23.0,2,3,0,0,95,5,-27440640.0,0,0,5,1
300,30,4.6,10.666666666666666,5,3,1,1,120,2,-27452160.0,0,0,6,1
301,39,4.8,11.333333333333334,5,3,2,0,130,9,-27452160.0,0,0,6,1
302,33,4.8,18.0,3,0,2,3,140,1,-27482400.0,0,0,6,1
303,20,4.7,17.166666666666668,2,1,0,0,80,8,-27466560.0,0,0,2,0
305,34,4.2,23.166666666666668,0,2,0,0,120,2,-27452160.0,0,0,6,1
306,22,4.7,17.25,0,3,0,3,120,5,-27475200.0,0,0,1,0
307,37,4.3,11.916666666666666,5,2,1,0,170,7,-27455040.0,0,0,1,0
308,20,4.8,9.5,5,0,1,0,80,11,-27446400.0,0,0,2,0
309,33,4.9,22.666666666666668,0,0,0,0,130,11,-27485280.0,0,0,1,0
310,21,5.0,17.166666666666668,4,2,1,0,125,5,-27480960.0,0,0,5,1
311,33,4.6,17.166666666666668,5,3,2,0,245,0,-27447840.0,0,0,3,0
312,24,4.6,18.5,5,2,0,0,24,0,-27466560.0,0,0,2,0
314,30,4.6,19.0,0,1,1,0,26,0,-27443520.0,0,0,0,0
315,32,4.9,23.916666666666668,0,2,0,0,120,11,-27459360.0,0,0,4,0
316,28,4.6,19.75,4,0,0,0,80,2,-27478080.0,0,0,3,0
317,21,4.7,20.5,0,1,1,3,135,11,-27483840.0,0,0,0,0
318,39,4.9,11.166666666666666,3,3,0,0,125,7,-27417600.0,0,0,3,0
319,32,4.7,9.0,4,3,0,0,130,10,-27470880.0,0,0,5,1
320,20,4.5,19.5,3,2,2,0,125,2,-27473760.0,0,0,0,0
321,36,5.0,8.333333333333334,5,3,0,0,15,4,-27455040.0,0,0,1,0
322,28,4.8,11.0,1,1,1,0,90,0,-27457920.0,0,0,3,0
323,32,4.5,20.5,3,1,0,0,150,4,-27446400.0,0,0,2,0
324,39,4.4,19.75,3,0,1,0,230,11,-27480960.0,0,0,5,1
325,30,4.7,22.416666666666668,3,3,1,0,24,11,-27475200.0,0,0,1,0
326,32,4.4,16.0,0,2,0,0,37,12,-27440640.0,0,0,5,1
327,23,4.6,21.5,5,2,0,3,135,6,-27475200.0,0,0,1,0
328,21,4.8,15.416666666666666,5,3,0,0,135,12,-27440640.0,0,0,5,1
329,31,4.2,17.416666666666668,2,3,0,0,160,11,-27440640.0,0,0,5,1
330,37,4.6,11.75,5,1,1,0,140,9,-27452160.0,0,0,6,1
331,20,4.5,20.25,2,1,0,0,145,11,-27437760.0,0,0,3,0
332,28,4.5,10.416666666666666,0,1,0,0,135,12,-27437760.0,0,0,3,0
333,22,4.9,8.416666666666666,4,1,0,0,55,4,-27468000.0,0,0,3,0
334,20,4.7,17.25,5,3,1,0,13,0,-27455040.0,0,0,1,0
335,34,4.8,22.75,3,2,0,3,135,14,-27450720.0,0,0,5,1
336,38,4.8,12.583333333333334,2,2,0,0,125,5,-27452160.0,0,0,6,1
337,32,4.5,12.333333333333334,3,0,1,0,135,15,-27485280.0,0,0,1,0
338,34,4.9,22.916666666666668,2,1,0,0,26,3,-27436320.0,0,0,2,0
339,33,3.9,17.416666666666668,3,2,0,0,160,4,-27444960.0,0,0,1,0
340,34,4.5,10.583333333333334,5,2,0,0,125,5,-27463680.0,0,0,0,0
342,34,4.7,19.833333333333332,2,3,0,0,145,4,-27449280.0,0,0,4,0
343,26,4.6,19.5,4,2,0,0,160,15,-27447840.0,0,0,3,0
344,31,4.0,23.75,0,3,0,0,175,8,-27450720.0,0,0,5,1
345,39,4.8,14.833333333333334,5,3,0,0,135,10,-27460800.0,0,0,5,1
347,32,5.0,21.916666666666668,1,1,0,0,135,12,-27446400.0,0,0,2,0
348,32,4.5,17.166666666666668,3,2,1,0,150,7,-27411840.0,0,0,6,1
349,39,4.1,18.666666666666668,3,2,1,0,160,10,-27472320.0,0,0,6,1
350,36,4.8,10.25,3,3,0,3,125,7,-27463680.0,0,0,0,0
351,37,4.1,17.75,4,1,1,3,190,12,-27455040.0,0,0,1,0
352,37,4.8,21.0,0,1,0,0,130,15,-27470880.0,0,0,5,1
353,38,3.7,20.5,5,2,0,0,155,5,-27469440.0,0,0,4,0
354,28,4.7,11.666666666666666,2,2,0,3,140,5,-27434880.0,0,0,1,0
355,34,3.8,18.666666666666668,5,2,0,3,155,13,-27447840.0,0,0,3,0
356,32,4.9,23.25,3,0,0,0,145,11,-27472320.0,0,0,6,1
357,22,4.7,23.583333333333332,0,0,0,0,85,11,-27449280.0,0,0,4,0
358,31,4.0,17.75,0,2,1,0,225,12,-27413280.0,0,0,0,0
359,27,4.0,19.0,2,1,0,0,170,3,-27475200.0,0,0,1,0
360,29,4.9,19.583333333333332,0,1,1,0,120,1,-27462240.0,0,0,6,1
361,38,4.8,21.666666666666668,5,2,1,3,220,5,-27473760.0,0,0,0,0
362,35,4.8,20.833333333333332,5,3,0,3,180,14,-27479520.0,0,0,4,0
