,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
15,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14.916666666666666,15.166666666666666,5,0,1,0,33,5
16,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20.5,20.666666666666668,2,1,0,0,200,3
17,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20.666666666666668,20.833333333333332,0,1,0,0,205,13
18,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21.25,21.5,5,1,0,3,75,7
19,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20.333333333333332,20.416666666666668,2,1,0,0,180,15
20,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22.5,22.75,2,2,2,0,130,1
21,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,8.25,8.5,2,2,0,0,100,2
22,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19.5,19.75,5,1,1,0,195,13
23,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12.416666666666666,12.5,0,0,0,0,170,7
24,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18.583333333333332,18.833333333333332,4,3,2,0,75,9
25,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20.583333333333332,20.666666666666668,3,1,0,3,90,3
26,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23.333333333333332,23.5,0,2,1,0,190,4
27,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21.333333333333332,21.583333333333332,5,1,0,0,235,3
28,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23.583333333333332,23.75,5,2,2,3,60,7
29,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22.583333333333332,22.833333333333332,2,2,0,0,130,7
30,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22.583333333333332,22.666666666666668,3,2,0,3,110,3
31,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23.416666666666668,23.583333333333332,2,2,0,3,105,7
32,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13.583333333333334,13.666666666666666,0,0,1,3,125,11
33,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21.583333333333332,21.75,3,1,1,3,35,5
34,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22.583333333333332,22.75,0,2,1,0,150,14
35,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18.916666666666668,19.166666666666668,4,3,0,0,110,7
36,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14.25,14.416666666666666,5,0,1,3,50,15
37,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11.0,11.166666666666666,2,2,1,0,95,8
38,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,9.75,9.916666666666666,4,2,1,3,55,2
39,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,8.666666666666666,8.916666666666666,3,2,1,0,55,8
40,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23.0,23.166666666666668,1,2,0,0,140,1
41,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17.416666666666668,17.5,0,3,0,0,33,5
42,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19.75,19.833333333333332,2,1,0,0,260,2
43,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19.166666666666668,19.416666666666668,3,1,1,0,110,3
44,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10.916666666666666,11.0,1,2,1,3,16,5
45,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21.666666666666668,21.75,4,1,2,0,55,0
46,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19.0,19.25,5,3,1,0,125,13
47,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16.75,16.916666666666668,0,3,0,3,130,7
48,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11.5,11.666666666666666,4,0,1,0,90,11
49,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15.166666666666666,15.25,1,3,0,0,80,1
50,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22.75,22.916666666666668,3,2,1,0,115,3
51,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,22.166666666666668,22.416666666666668,0,2,0,0,75,6
52,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20.75,20.916666666666668,2,1,0,0,180,8
53,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22.833333333333332,23.083333333333332,0,2,0,0,80,2
54,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17.916666666666668,18.0,4,3,0,3,95,13
55,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22.75,23.0,4,2,0,0,135,7
56,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,20.583333333333332,20.833333333333332,1,1,1,2,245,0
57,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,9.416666666666666,9.666666666666666,5,2,1,1,100,11
58,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,20.25,20.333333333333332,0,1,0,0,150,14
59,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22.416666666666668,22.583333333333332,2,2,1,3,90,3
60,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21.916666666666668,22.0,4,1,1,0,110,1
61,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22.666666666666668,22.916666666666668,0,2,1,0,170,11
62,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23.833333333333332,23.916666666666668,2,2,0,3,120,7
63,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15.416666666666666,15.666666666666666,1,3,1,0,85,10
64,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10.333333333333334,10.5,2,2,2,0,70,11
65,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20.916666666666668,21.0,3,1,0,0,150,12
66,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10.666666666666666,10.833333333333334,3,2,1,0,15,5
67,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,15.916666666666666,16.083333333333332,1,3,1,3,80,0
68,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20.166666666666668,20.25,0,1,1,0,180,6
69,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12.166666666666666,12.25,4,0,1,3,90,14
70,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15.5,15.75,1,3,1,0,85,9
71,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,22.166666666666668,22.25,2,2,0,3,75,0
72,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,10.583333333333334,10.75,1,2,0,0,85,1
73,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23.833333333333332,0.08333333333333333,1,2,0,0,50,11
74,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,21.166666666666668,21.416666666666668,1,1,0,0,135,14
75,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20.416666666666668,20.666666666666668,2,1,0,0,185,10
76,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20.833333333333332,21.0,1,1,1,0,220,4
77,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12.583333333333334,12.75,5,0,2,0,140,13
78,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21.0,21.25,0,1,1,0,210,0
79,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,23.666666666666668,23.916666666666668,5,2,0,0,125,14
80,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18.25,18.333333333333332,0,3,1,0,195,7
81,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18.333333333333332,18.416666666666668,3,3,0,3,100,4
82,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11.75,11.833333333333334,3,0,0,0,155,8
83,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20.75,20.916666666666668,3,1,0,0,65,6
84,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21.916666666666668,22.166666666666668,3,1,0,0,140,6
85,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12.75,12.833333333333334,5,0,1,3,95,13
86,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23.5,23.75,1,2,0,3,210,8
87,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10.833333333333334,10.916666666666666,1,2,0,0,115,4
88,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21.416666666666668,21.666666666666668,3,1,0,0,195,3
89,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10.166666666666666,10.333333333333334,3,2,0,0,125,9
90,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23.0,23.083333333333332,2,2,1,0,75,2
91,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,8.666666666666666,8.916666666666666,0,2,1,3,75,1
92,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17.833333333333332,17.916666666666668,4,3,2,0,75,6
93,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20.416666666666668,20.666666666666668,3,1,0,0,75,4
94,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22.333333333333332,22.416666666666668,4,2,0,0,90,9
95,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23.666666666666668,23.833333333333332,2,2,2,0,145,2
96,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23.416666666666668,23.5,1,2,0,0,100,13
97,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12.666666666666666,12.916666666666666,0,0,1,0,195,12
98,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23.5,23.75,5,2,0,0,95,14
99,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23.916666666666668,0.16666666666666666,0,2,1,3,19,5
100,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22.833333333333332,23.0,5,2,0,0,85,4
101,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10.416666666666666,10.666666666666666,3,2,0,3,75,1
102,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,8.75,9.0,2,2,0,3,95,0
103,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21.416666666666668,21.666666666666668,2,1,0,0,145,0
104,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22.583333333333332,22.666666666666668,0,2,1,3,110,7
105,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20.166666666666668,20.333333333333332,1,1,1,0,210,1
106,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10.916666666666666,11.166666666666666,2,2,1,3,60,14
107,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20.583333333333332,20.75,0,1,0,0,190,12
108,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23.333333333333332,23.583333333333332,4,2,0,0,115,9
109,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10.583333333333334,10.833333333333334,0,2,1,0,75,1
110,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23.75,23.833333333333332,4,2,0,0,120,11
111,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19.916666666666668,20.0,5,1,0,0,185,1
112,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22.25,22.416666666666668,2,2,1,0,120,14
113,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23.166666666666668,23.25,4,2,2,0,65,8
114,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,9.25,9.5,0,2,0,1,80,14
115,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18.416666666666668,18.583333333333332,0,3,0,3,210,3
116,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22.166666666666668,22.333333333333332,2,2,0,0,85,15
117,24,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20.833333333333332,21.083333333333332,0,1,0,0,125,7
118,39,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,18.75,18.833333333333332,1,3,1,0,195,2
119,37,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,14.916666666666666,15.083333333333334,4,0,1,0,90,11
120,32,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,16.833333333333332,17.0,2,3,0,0,140,1
121,22,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,22.333333333333332,22.583333333333332,2,2,1,0,90,12
122,23,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,0.0,0.25,5,2,1,0,90,2
123,33,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,21.166666666666668,21.333333333333332,1,1,1,0,245,0
125,27,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,23.5,23.583333333333332,4,0,1,0,105,15
126,34,4.7,19.121999,72.908493,19.161999,72.948493,2022-03-01,14.333333333333334,14.583333333333334,1,2,1,3,115,14
127,26,5.0,21.157729,72.768726,21.167729,72.778726,2022-04-03,10.25,10.416666666666666,0,1,0,0,55,13
128,31,4.6,22.311603,73.165012,22.371603,73.225012,2022-03-24,21.333333333333332,21.583333333333332,1,2,0,0,125,1
129,32,4.9,18.536562,73.896485,18.556562,73.916485,2022-03-07,8.833333333333334,8.916666666666666,0,2,0,0,90,11
130,27,4.7,22.745536,75.893106,22.765536,75.913106,2022-03-09,9.0,9.083333333333334,5,3,0,0,70,10
131,21,4.9,12.933298,77.614293,13.023298,77.704293,2022-03-12,17.75,18.0,1,2,0,0,180,8
132,28,4.8,12.939496,77.625999,12.989496,77.675999,2022-03-24,23.166666666666668,23.25,1,3,1,3,90,15
133,24,4.9,0.0,0.0,0.04,0.04,2022-03-30,16.583333333333332,16.833333333333332,2,2,0,0,85,4
134,33,4.4,17.426228,78.407495,17.436228,78.417495,2022-03-05,8.5,8.666666666666666,1,1,0,0,140,6
135,20,4.6,12.934365,77.616155,13.024365,77.706155,2022-03-18,20.583333333333332,20.833333333333332,5,2,0,0,220,15
136,31,4.3,11.003669,76.976494,11.063669,77.036494,2022-03-13,23.416666666666668,23.666666666666668,1,1,0,0,100,11
137,36,5.0,22.311358,73.164798,22.381358,73.234798,2022-03-31,19.916666666666668,20.083333333333332,2,1,0,0,175,5
138,31,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,21.333333333333332,21.5,3,1,1,0,50,4
139,39,4.1,17.41233,78.449654,17.47233,78.509654,2022-03-24,21.75,21.833333333333332,4,1,2,0,170,9
140,29,4.6,21.17106,72.789292,21.25106,72.869292,2022-03-12,19.666666666666668,19.916666666666668,2,0,1,3,85,0
141,29,4.6,21.186884,72.793616,21.226884,72.833616,2022-03-03,14.833333333333334,15.0,1,3,0,0,115,1
142,37,4.9,11.026117,76.944652,11.056117,76.974652,2022-03-09,18.166666666666668,18.333333333333332,0,0,0,3,135,12
143,33,4.7,0.0,0.0,0.04,0.04,2022-03-17,12.333333333333334,12.5,0,2,1,0,130,10
144,31,3.9,19.065838,72.832658,19.135838,72.902658,2022-03-18,23.666666666666668,23.833333333333332,5,0,0,3,175,9
145,37,4.6,0.0,0.0,0.04,0.04,2022-03-19,12.833333333333334,12.916666666666666,2,2,0,1,205,15
146,26,4.4,12.98041,77.640489,13.04041,77.700489,2022-03-07,23.333333333333332,23.5,3,3,0,0,115,2
147,24,4.6,11.022477,76.995667,11.132477,77.105667,2022-03-04,17.833333333333332,18.0,5,2,1,0,150,10
148,23,4.8,0.0,0.0,0.02,0.02,2022-04-03,10.416666666666666,10.583333333333334,5,2,1,0,95,4
149,36,4.9,0.0,0.0,0.01,0.01,2022-03-11,9.166666666666666,9.416666666666666,0,0,0,0,135,3
150,39,4.8,12.310972,76.659264,12.350972,76.699264,2022-04-01,12.5,12.75,2,3,0,0,140,15
151,20,4.7,11.025083,77.015393,11.105083,77.095393,2022-03-20,17.166666666666668,17.333333333333332,0,1,0,3,120,14
152,20,5.0,12.316967,76.603067,12.446967,76.733067,2022-03-31,19.25,19.5,2,2,0,0,180,3
153,29,4.3,22.538731,88.364878,22.598731,88.424878,2022-02-13,23.833333333333332,23.916666666666668,1,3,0,3,140,13
154,36,4.8,11.001753,76.986241,11.111753,77.096241,2022-03-29,18.75,18.833333333333332,4,1,0,0,155,12
155,36,4.0,22.310237,73.158921,22.400237,73.248921,2022-03-16,20.666666666666668,20.75,5,2,1,0,220,3
156,22,4.8,23.359033,85.325347,23.439033,85.405347,2022-03-14,22.166666666666668,22.416666666666668,5,3,0,0,75,15
157,38,4.4,18.593481,73.785901,18.663481,73.855901,2022-03-31,17.333333333333332,17.416666666666668,1,1,0,0,165,3
158,39,4.9,21.186438,72.794115,21.236438,72.844115,2022-03-17,19.916666666666668,20.166666666666668,3,3,1,0,150,9
159,24,4.9,22.725748,75.898497,22.775748,75.948497,2022-03-28,18.25,18.416666666666668,1,2,0,0,110,14
160,30,4.1,0.0,0.0,0.07,0.07,2022-04-04,23.833333333333332,0.0,1,3,0,0,215,7
161,35,4.8,17.450851,78.379347,17.540851,78.469347,2022-03-04,17.416666666666668,17.583333333333332,3,2,2,0,240,11
162,33,4.5,13.081878,80.248519,13.171878,80.338519,2022-03-04,23.75,0.0,5,3,0,3,95,3
163,39,4.7,10.035573,76.336958,10.105573,76.406958,2022-02-14,18.5,18.583333333333332,5,1,0,0,105,9
164,31,4.3,22.308096,73.167753,22.388096,73.247753,2022-03-25,21.583333333333332,21.75,5,2,1,0,220,1
165,37,4.5,12.975996,80.221898,12.985996,80.231898,2022-03-17,8.666666666666666,8.916666666666666,5,2,1,0,130,5
166,37,4.7,12.3085,76.665808,12.3385,76.695808,2022-04-01,22.583333333333332,22.666666666666668,5,0,0,0,26,14
167,33,5.0,19.178321,72.834715,19.188321,72.844715,2022-03-19,11.75,11.833333333333334,3,2,1,3,155,5
168,24,4.6,0.0,0.0,0.06,0.06,2022-03-07,23.416666666666668,23.666666666666668,4,1,1,0,19,8
169,33,4.5,26.910262,75.783013,26.990262,75.863013,2022-03-02,19.166666666666668,19.25,1,3,0,0,90,4
170,39,4.7,25.443994,81.860187,25.513994,81.930187,2022-02-16,18.75,19.0,0,3,0,0,190,9
171,37,4.6,23.359194,85.325447,23.449194,85.415447,2022-03-29,18.25,18.416666666666668,2,2,1,0,160,7
172,25,4.9,17.458998,78.500366,17.508998,78.550366,2022-03-07,22.5,22.583333333333332,1,3,1,3,85,1
173,28,4.8,18.530963,73.828972,18.590963,73.888972,2022-03-03,19.0,19.083333333333332,5,0,0,0,55,3
174,38,4.7,12.321214,76.621094,12.361214,76.661094,2022-03-30,13.166666666666666,13.333333333333334,5,3,0,0,155,12
175,31,4.6,12.3085,76.665808,12.3685,76.725808,2022-03-19,17.916666666666668,18.083333333333332,0,1,0,0,125,7
176,25,4.8,19.055831,72.833984,19.115831,72.893984,2022-03-15,19.833333333333332,20.083333333333332,1,1,0,0,110,12
177,35,4.9,12.337928,76.617889,12.407928,76.687889,2022-03-02,21.25,21.333333333333332,1,1,0,0,215,6
178,39,4.7,23.351489,85.324253,23.421489,85.394253,2022-03-31,19.583333333333332,19.75,3,1,0,0,210,8
179,38,3.9,22.728163,75.884212,22.808163,75.964212,2022-03-06,19.166666666666668,19.333333333333332,1,1,0,0,210,13
180,35,4.7,13.026286,80.275235,13.056286,80.305235,2022-03-21,21.333333333333332,21.5,2,2,0,0,170,14
181,29,4.7,26.766536,75.837333,26.786536,75.857333,2022-03-01,9.833333333333334,10.083333333333334,3,1,1,0,85,10
182,27,4.6,21.149834,72.778666,21.179834,72.808666,2022-03-24,20.583333333333332,20.666666666666668,2,1,0,2,125,2
183,38,4.3,12.3085,76.665808,12.3985,76.755808,2022-04-04,21.25,21.416666666666668,5,2,0,0,270,4
184,36,4.9,21.149669,72.772629,21.219669,72.842629,2022-03-02,23.0,23.25,0,0,0,0,105,13
185,26,4.0,17.411028,78.329645,17.451028,78.369645,2022-04-01,15.0,15.166666666666666,1,1,0,0,170,10
186,26,4.1,26.482581,80.315628,26.572581,80.405628,2022-02-12,19.75,19.833333333333332,4,3,0,0,180,3
187,36,4.9,12.284747,76.625861,12.344747,76.685861,2022-04-05,17.75,17.916666666666668,4,2,0,0,85,4
188,21,4.7,26.911378,75.789034,26.921378,75.799034,2022-03-03,9.0,9.166666666666666,4,1,2,0,80,0
189,35,4.7,13.02978,80.208812,13.10978,80.288812,2022-04-06,20.0,20.083333333333332,1,0,0,0,135,8
190,20,4.5,12.323194,76.630583,12.363194,76.670583,2022-03-17,12.833333333333334,12.916666666666666,1,1,0,0,130,6
191,23,4.6,18.563934,73.915367,18.653934,74.005367,2022-03-31,21.666666666666668,21.916666666666668,4,1,0,0,230,14
192,37,5.0,22.569367,88.433187,22.629367,88.493187,2022-02-17,19.916666666666668,20.083333333333332,2,1,0,0,145,11
193,26,4.8,12.949934,77.699386,13.009934,77.759386,2022-03-09,19.583333333333332,19.666666666666668,2,2,1,3,115,14
194,29,5.0,21.175975,72.795503,21.255975,72.875503,2022-03-27,22.583333333333332,22.833333333333332,3,3,0,0,55,0
195,26,4.9,22.725835,75.887648,22.835835,75.997648,2022-03-25,17.166666666666668,17.416666666666668,0,1,0,0,140,4
196,29,4.8,18.536562,73.896485,18.596562,73.956485,2022-03-11,19.583333333333332,19.666666666666668,2,2,0,0,125,13
197,29,4.7,23.416792,85.316842,23.436792,85.336842,2022-03-03,10.5,10.75,5,3,1,0,55,4
198,21,4.9,30.89286,75.822199,30.92286,75.852199,2022-02-15,18.166666666666668,18.333333333333332,3,2,0,0,130,0
199,22,4.3,12.310972,76.659264,12.330972,76.679264,2022-03-07,10.166666666666666,10.416666666666666,1,3,0,0,115,8
200,31,4.0,26.913987,75.752891,26.993987,75.832891,2022-03-18,17.833333333333332,18.083333333333332,1,2,0,1,195,0
201,20,4.5,11.001753,76.986241,11.021753,77.006241,2022-04-03,8.833333333333334,9.0,3,1,2,0,55,0
202,30,3.9,22.310237,73.158921,22.390237,73.238921,2022-04-06,19.916666666666668,20.166666666666668,1,3,0,0,160,11
203,36,4.8,12.933284,77.615428,13.003284,77.685428,2022-03-06,17.916666666666668,18.166666666666668,1,3,1,0,215,3
204,24,4.7,12.297954,76.665169,12.337954,76.705169,2022-03-19,15.5,15.666666666666666,5,2,2,0,65,7
205,32,4.7,12.352058,76.60665,12.362058,76.61665,2022-03-21,9.666666666666666,9.833333333333334,5,3,0,0,125,2
206,25,5.0,13.086438,80.220672,13.146439,80.280672,2022-03-19,18.333333333333332,18.416666666666668,5,3,1,0,135,12
207,27,4.5,17.429585,78.392621,17.469585,78.432621,2022-03-28,15.583333333333334,15.833333333333334,2,3,0,0,145,12
208,32,4.1,12.978453,77.643685,13.048453,77.713685,2022-03-29,18.25,18.5,1,3,0,3,165,5
209,23,4.7,13.044694,80.26147,13.084694,80.30147,2022-03-17,16.916666666666668,17.0,4,3,0,0,19,11
210,39,4.4,12.98041,77.640489,13.11041,77.770489,2022-03-29,18.166666666666668,18.25,1,1,0,0,165,0
211,20,4.8,0.0,0.0,0.06,0.06,2022-03-21,19.25,19.333333333333332,5,3,2,1,140,3
212,20,4.8,26.846156,75.8023,26.926156,75.8823,2022-03-04,18.416666666666668,18.583333333333332,3,1,1,0,75,12
213,29,4.6,25.449659,81.839744,25.479659,81.869744,2022-02-15,20.5,20.75,3,2,1,0,145,13
214,26,4.9,26.911927,75.797282,27.051927,75.937282,2022-03-29,22.916666666666668,23.0,3,2,0,0,90,0
215,25,5.0,10.020683,76.310631,10.030683,76.320631,2022-02-13,10.916666666666666,11.0,5,3,0,0,70,11
216,34,4.7,12.935662,77.61413,12.975662,77.65413,2022-04-03,16.0,16.25,4,0,0,0,150,15
217,31,4.9,15.585658,73.743606,15.625658,73.783606,2022-02-13,14.833333333333334,15.083333333333334,1,1,0,0,140,3
218,24,4.7,0.0,0.0,0.13,0.13,2022-03-16,20.333333333333332,20.416666666666668,0,3,0,0,195,12
219,30,4.9,17.429585,78.392621,17.519585,78.482621,2022-04-02,19.0,19.25,2,3,0,0,150,0
220,36,4.8,26.766536,75.837333,26.896536,75.967333,2022-03-20,18.25,18.333333333333332,1,2,0,0,180,6
221,36,4.4,26.846156,75.8023,26.986156,75.9423,2022-03-29,23.583333333333332,23.833333333333332,0,1,0,0,185,0
222,26,4.7,26.913987,75.752891,27.053987,75.892891,2022-03-04,19.583333333333332,19.666666666666668,4,2,1,1,215,0
223,30,4.6,22.310526,73.170937,22.420526,73.280937,2022-03-27,23.583333333333332,23.75,3,3,1,0,145,11
224,20,4.8,0.0,0.0,0.03,0.03,2022-02-11,18.0,18.25,1,3,2,3,125,1
225,33,4.7,12.972532,77.608179,13.022532,77.658179,2022-03-09,18.166666666666668,18.416666666666668,5,1,0,0,75,2
226,34,4.0,19.103249,72.846749,19.193249,72.936749,2022-03-12,21.166666666666668,21.25,5,2,0,0,195,2
227,36,4.6,17.426228,78.407495,17.506228,78.487495,2022-04-04,23.666666666666668,23.833333333333332,1,2,0,0,100,0
228,33,4.6,26.471617,80.313564,26.491617,80.333564,2022-02-11,11.0,11.166666666666666,2,2,0,0,75,7
229,22,4.8,19.866969,75.318894,19.976969,75.428894,2022-02-18,22.75,23.0,4,2,1,0,80,2
230,38,4.7,18.593481,73.785901,18.603481,73.795901,2022-03-19,11.0,11.25,1,2,1,0,95,8
